variant,epoch,probe_set,count,mean,std,min,max,p99
full_aamas_frozen,0,train_anchor,333,-5.864489946180459e-08,5.212056336787473e-08,-1.8704447768413957e-07,8.179174670885914e-08,5.321717765127695e-08
full_aamas_frozen,0,real_next_bootstrap,19584,-4.940140767970724e-08,4.920459588034518e-08,-2.4954698574219947e-07,5.897334176552249e-08,4.5323515429629415e-08
full_aamas_frozen,0,model_next,186368,-8.179216581254175e-08,4.109887443442902e-08,-2.452700300636934e-07,-2.2187681025798156e-08,-4.247235558807462e-08
full_aamas_frozen,10,train_anchor,333,10.838105654215312,0.6350658251294685,8.878483772277832,12.625380516052246,12.213799896240234
full_aamas_frozen,10,real_next_bootstrap,19584,10.712034749244554,0.7839619174455774,8.357675552368164,12.626175880432129,12.263708591461182
full_aamas_frozen,10,model_next,186368,10.6061870775206,0.48603937659048424,9.565412521362305,11.800936698913574,11.391446418762207
full_aamas_frozen,20,train_anchor,333,22.077099058363174,1.2290540380229442,18.786415100097656,26.560386657714844,25.007208557128905
full_aamas_frozen,20,real_next_bootstrap,19584,21.934969599827443,1.4621579938933829,17.61211395263672,25.805522918701172,25.223888778686522
full_aamas_frozen,20,model_next,186368,21.55077236886699,1.0942809332650478,19.32619857788086,23.644737243652344,23.139678611755368
full_aamas_frozen,30,train_anchor,333,33.70706802230698,2.0838475092084487,29.128829956054688,42.41603469848633,38.81405075073243
full_aamas_frozen,30,real_next_bootstrap,19584,33.72810121708446,2.2829511654731443,27.781028747558594,40.451271057128906,39.40075576782227
full_aamas_frozen,30,model_next,186368,32.780679943725715,1.6592830075524652,29.43815803527832,35.800148010253906,35.229921875
full_aamas_frozen,40,train_anchor,333,45.771110763778914,3.2502044202016793,39.81711959838867,61.6004638671875,54.16450103759767
full_aamas_frozen,40,real_next_bootstrap,19584,46.10690214957287,3.341320394946311,39.005889892578125,57.79303741455078,56.88358497619628
full_aamas_frozen,40,model_next,186368,44.186928894616415,2.1406784674177475,40.039371490478516,48.20539855957031,47.54126949310302
full_aamas_frozen,50,train_anchor,333,58.32467214910834,4.814888059154191,50.34486389160156,83.7443618774414,72.66568817138672
full_aamas_frozen,50,real_next_bootstrap,19584,59.14952874631663,4.672342579030059,49.98627853393555,77.17240142822266,76.11776054382324
full_aamas_frozen,50,model_next,186368,55.97323215701668,2.4377054738863015,51.5166015625,60.64982604980469,60.054167060852045
full_aamas_frozen,60,train_anchor,333,71.50609365239873,6.9346614734189735,60.91742706298828,109.5858154296875,95.71379028320314
full_aamas_frozen,60,real_next_bootstrap,19584,72.97936031183386,6.508400815865675,61.54395294189453,98.41423034667969,97.0049200439453
full_aamas_frozen,60,model_next,186368,68.11168661881443,2.502970085107728,63.7105827331543,73.15654754638672,72.57918762207031
full_aamas_frozen,80,train_anchor,333,101.84616398166966,13.691468431300999,82.17030334472656,178.09298706054688,157.84531860351564
full_aamas_frozen,80,real_next_bootstrap,19584,105.03511799394695,12.902261191888032,86.58126068115234,155.30653381347656,152.49053451538086
full_aamas_frozen,80,model_next,186368,94.2478521867031,2.7358077213494756,87.08995056152344,100.66802215576172,99.07401260375977
full_aamas_frozen,100,train_anchor,333,141.6810993962102,25.398061099492356,106.67196655273438,279.3238220214844,249.03691528320314
full_aamas_frozen,100,real_next_bootstrap,19584,147.50835454658744,24.1346854902023,113.11129760742188,235.447509765625,230.38546142578124
full_aamas_frozen,100,model_next,186368,127.3298822285628,4.211126978949241,116.53844451904297,141.1208953857422,136.73450119018554
full_aamas_frozen,120,train_anchor,333,199.88063530449395,44.13305307245055,141.1634521484375,425.59710693359375,381.1546948242188
full_aamas_frozen,120,real_next_bootstrap,19584,209.37226308015437,42.18258810884434,141.27479553222656,345.6463317871094,337.6471987915038
full_aamas_frozen,120,model_next,186368,176.2529557548709,8.731522428820067,160.13681030273438,205.17320251464844,196.90825775146482
full_aamas_frozen,140,train_anchor,333,286.72614524314355,71.01186112582116,188.53086853027344,625.6715698242188,562.6924707031251
full_aamas_frozen,140,real_next_bootstrap,19584,301.46687479346406,67.9850665746377,187.1337890625,500.5869140625,488.70813629150393
full_aamas_frozen,140,model_next,186368,250.72376111043351,18.480807639567043,220.45260620117188,304.5344543457031,291.36974060058594
full_aamas_frozen,160,train_anchor,333,412.82691886833123,106.67913736387547,257.16552734375,899.7318115234375,813.7776123046876
full_aamas_frozen,160,real_next_bootstrap,19584,435.9278757167018,101.95217314939038,256.582763671875,708.3243408203125,692.050161743164
full_aamas_frozen,160,model_next,186368,362.574833461544,32.52445844064429,310.99163818359375,451.3486633300781,431.88542358398433
full_aamas_frozen,180,train_anchor,333,598.7336369878179,154.68979367211307,358.2911376953125,1312.222412109375,1181.8439111328128
full_aamas_frozen,180,real_next_bootstrap,19584,635.8591195399465,147.6032448923171,364.7560729980469,1011.4057006835938,987.6200372314453
full_aamas_frozen,180,model_next,186368,533.3507089390532,48.9643886375488,451.6048278808594,668.74267578125,639.1931079101562
full_aamas_frozen,200,train_anchor,333,872.1633143152918,224.48867100770056,522.9140014648438,1932.3670654296875,1746.601821289063
full_aamas_frozen,200,real_next_bootstrap,19584,930.7004844409968,212.27302258222065,541.065185546875,1457.9229736328125,1423.9401245117188
full_aamas_frozen,200,model_next,186368,788.5860692881621,76.68712555923045,650.7242431640625,989.5228881835938,944.1204711914062
