kappa,condition,mixture,subset,threshold,count,finite_count,zero_count,censored_count,finite_fraction,zero_fraction,censored_fraction,min,finite_min,p05,finite_p05,p10,finite_p10,p25,finite_p25,median,finite_median,p75,finite_p75,p90,finite_p90,p95,finite_p95,max,finite_max
0.0,confounded,logger1_heavy,all,lambda_first_competitor_tie,2048,1878,0,170,0.9169921875,0.0,0.0830078125,6.529284905684228e-06,6.529284905684228e-06,0.001093731440029346,0.0009587880595306808,0.0018084368591600127,0.0017941446016474273,0.0028750705724737737,0.002776298517350516,0.004221501818476777,0.004020805785167712,0.008457461759839531,0.008148283554845221,0.01003209127143931,0.00900413519030207,+inf,0.009600848631571545,+inf,0.011632461345439481
0.0,confounded,logger1_heavy,all,lambda_first_top_disagreement,2048,1878,0,170,0.9169921875,0.0,0.0830078125,6.529284905684228e-06,6.529284905684228e-06,0.001093731440029346,0.0009587880595306808,0.0018084368591600127,0.0017941446016474273,0.0028750705724737737,0.002776298517350516,0.004221501818476777,0.004020805785167712,0.008457461759839531,0.008148283554845221,0.01003209127143931,0.00900413519030207,+inf,0.009600848631571545,+inf,0.011632461345439481
0.0,confounded,logger1_heavy,all,lambda_first_positive_regret,2048,1878,0,170,0.9169921875,0.0,0.0830078125,6.529284905684228e-06,6.529284905684228e-06,0.001093731440029346,0.0009587880595306808,0.0018084368591600127,0.0017941446016474273,0.0028750705724737737,0.002776298517350516,0.004221501818476777,0.004020805785167712,0.008457461759839531,0.008148283554845221,0.01003209127143931,0.00900413519030207,+inf,0.009600848631571545,+inf,0.011632461345439481
0.0,confounded,logger1_heavy,all,lambda_first_strict_flip,2048,1878,0,170,0.9169921875,0.0,0.0830078125,6.529284905684228e-06,6.529284905684228e-06,0.001093731440029346,0.0009587880595306808,0.0018084368591600127,0.0017941446016474273,0.0028750705724737737,0.002776298517350516,0.004221501818476777,0.004020805785167712,0.008457461759839531,0.008148283554845221,0.01003209127143931,0.00900413519030207,+inf,0.009600848631571545,+inf,0.011632461345439481
0.0,confounded,logger1_heavy,train,lambda_first_competitor_tie,358,334,0,24,0.9329608938547486,0.0,0.0670391061452514,3.481895961789677e-05,3.481895961789677e-05,0.0010503328208959625,0.0010421479383638293,0.0015700401080032123,0.0015280630637354463,0.0025828736383875736,0.0025415778215745477,0.003537275290811643,0.0034351655841445643,0.007331184405925983,0.004563789372828567,0.009227758327890696,0.008208816455900162,+inf,0.008700656306278967,+inf,0.010083856050762903
0.0,confounded,logger1_heavy,train,lambda_first_top_disagreement,358,334,0,24,0.9329608938547486,0.0,0.0670391061452514,3.481895961789677e-05,3.481895961789677e-05,0.0010503328208959625,0.0010421479383638293,0.0015700401080032123,0.0015280630637354463,0.0025828736383875736,0.0025415778215745477,0.003537275290811643,0.0034351655841445643,0.007331184405925983,0.004563789372828567,0.009227758327890696,0.008208816455900162,+inf,0.008700656306278967,+inf,0.010083856050762903
0.0,confounded,logger1_heavy,train,lambda_first_positive_regret,358,334,0,24,0.9329608938547486,0.0,0.0670391061452514,3.481895961789677e-05,3.481895961789677e-05,0.0010503328208959625,0.0010421479383638293,0.0015700401080032123,0.0015280630637354463,0.0025828736383875736,0.0025415778215745477,0.003537275290811643,0.0034351655841445643,0.007331184405925983,0.004563789372828567,0.009227758327890696,0.008208816455900162,+inf,0.008700656306278967,+inf,0.010083856050762903
0.0,confounded,logger1_heavy,train,lambda_first_strict_flip,358,334,0,24,0.9329608938547486,0.0,0.0670391061452514,3.481895961789677e-05,3.481895961789677e-05,0.0010503328208959625,0.0010421479383638293,0.0015700401080032123,0.0015280630637354463,0.0025828736383875736,0.0025415778215745477,0.003537275290811643,0.0034351655841445643,0.007331184405925983,0.004563789372828567,0.009227758327890696,0.008208816455900162,+inf,0.008700656306278967,+inf,0.010083856050762903
0.0,confounded,logger1_heavy,validation,lambda_first_competitor_tie,76,72,0,4,0.9473684210526315,0.0,0.05263157894736842,6.529284905684228e-06,6.529284905684228e-06,0.00112265932533358,0.0011333466872371731,0.0013029950979769791,0.001306517129812893,0.0022165772057325395,0.002208359953181932,0.0035163051642717047,0.0034149201855655053,0.007495378925097617,0.006103047812423978,0.009520913521478058,0.008671292125379537,+inf,0.009427381253872822,+inf,0.010056096048432528
0.0,confounded,logger1_heavy,validation,lambda_first_top_disagreement,76,72,0,4,0.9473684210526315,0.0,0.05263157894736842,6.529284905684228e-06,6.529284905684228e-06,0.00112265932533358,0.0011333466872371731,0.0013029950979769791,0.001306517129812893,0.0022165772057325395,0.002208359953181932,0.0035163051642717047,0.0034149201855655053,0.007495378925097617,0.006103047812423978,0.009520913521478058,0.008671292125379537,+inf,0.009427381253872822,+inf,0.010056096048432528
