anchor_id,kappa,condition,mixture,segment_kind,lambda_start,lambda_stop,probe_lambda,top_set,top_disagreement,strict_flip,regret_best,regret_worst,true_do_regret,observational_top_second_gap
0,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.002305636710201897
0,0.0,confounded,logger1_heavy,interval,0.0,0.0030515779987966285,0.0015257889993983142,minus,False,False,0.0,0.0,0.0,0.0011528183551010596
0,0.0,confounded,logger1_heavy,point,0.0030515779987966285,0.0030515779987966285,0.0030515779987966285,minus|base,True,False,0.0,0.002305636710201897,0.0,0.0
0,0.0,confounded,logger1_heavy,interval,0.0030515779987966285,0.003919089238386458,0.003485333618591543,base,True,True,0.002305636710201897,0.002305636710201897,0.002305636710201897,0.0003277264682894909
0,0.0,confounded,logger1_heavy,point,0.003919089238386458,0.003919089238386458,0.003919089238386458,base,True,True,0.002305636710201897,0.002305636710201897,0.002305636710201897,0.0006554529365789818
0,0.0,confounded,logger1_heavy,interval,0.003919089238386458,0.004786600477976286,0.004352844858181372,base,True,True,0.002305636710201897,0.002305636710201897,0.002305636710201897,0.0003277264682894909
0,0.0,confounded,logger1_heavy,point,0.004786600477976286,0.004786600477976286,0.004786600477976286,base|plus,True,True,0.002305636710201897,0.005922179293561758,0.002305636710201897,0.0
0,0.0,confounded,logger1_heavy,interval,0.004786600477976286,+inf,1.0047866004779762,plus,True,True,0.005922179293561758,0.005922179293561758,0.005922179293561758,0.7555555555555553
1,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.007193579105116754
1,0.0,confounded,logger1_heavy,interval,0.0,0.009520913521478058,0.004760456760739029,minus,False,False,0.0,0.0,0.0,0.003596789552558377
1,0.0,confounded,logger1_heavy,point,0.009520913521478058,0.009520913521478058,0.009520913521478058,minus|base,True,False,0.0,0.007193579105116754,0.0,0.0
1,0.0,confounded,logger1_heavy,interval,0.009520913521478058,0.009574030645638058,0.009547472083558058,base,True,True,0.007193579105116754,0.007193579105116754,0.007193579105116754,2.006646912722232e-05
1,0.0,confounded,logger1_heavy,point,0.009574030645638058,0.009574030645638058,0.009574030645638058,base,True,True,0.007193579105116754,0.007193579105116754,0.007193579105116754,4.013293825400055e-05
1,0.0,confounded,logger1_heavy,interval,0.009574030645638058,0.009627147769798058,0.009600589207718058,base,True,True,0.007193579105116754,0.007193579105116754,0.007193579105116754,2.006646912722232e-05
