anchor_id,kappa,condition,mixture,left_action,right_action,crossing,status,top_left,top_point,top_right
335,0.0,confounded,logger2_heavy,minus,plus,0.00865713692825959,nonnegative,base,base,base
335,0.0,confounded,logger2_heavy,base,plus,0.008749682546262072,nonnegative,base,base|plus,plus
336,0.0,confounded,logger2_heavy,minus,base,0.004741180482144114,nonnegative,minus,minus|base,base
336,0.0,confounded,logger2_heavy,minus,plus,0.004833041905368263,nonnegative,base,base,base
336,0.0,confounded,logger2_heavy,base,plus,0.0049249033285924115,nonnegative,base,base|plus,plus
337,0.0,confounded,logger2_heavy,minus,base,0.016807486571312036,nonnegative,minus,minus|base,base
337,0.0,confounded,logger2_heavy,minus,plus,0.01689838561575152,nonnegative,base,base,base
337,0.0,confounded,logger2_heavy,base,plus,0.016989284660191006,nonnegative,base,base|plus,plus
338,0.0,confounded,logger2_heavy,minus,base,0.005021099173566079,nonnegative,minus,minus|base,base
338,0.0,confounded,logger2_heavy,minus,plus,0.005112493712650379,nonnegative,base,base,base
338,0.0,confounded,logger2_heavy,base,plus,0.0052038882517346785,nonnegative,base,base|plus,plus
