anchor_id,kappa,condition,mixture,left_action,right_action,crossing,status,top_left,top_point,top_right
421,0.0,confounded,logger2_heavy,minus,base,0.0018817958074930363,nonnegative,minus,minus|base,base
421,0.0,confounded,logger2_heavy,minus,plus,0.001972387708102652,nonnegative,base,base,base
421,0.0,confounded,logger2_heavy,base,plus,0.0020629796087122676,nonnegative,base,base|plus,plus
422,0.0,confounded,logger2_heavy,minus,base,0.004326553461048155,nonnegative,minus,minus|base,base
422,0.0,confounded,logger2_heavy,minus,plus,0.004419699586101722,nonnegative,base,base,base
422,0.0,confounded,logger2_heavy,base,plus,0.004512845711155289,nonnegative,base,base|plus,plus
423,0.0,confounded,logger2_heavy,minus,base,0.003623541984623335,nonnegative,minus,minus|base,base
423,0.0,confounded,logger2_heavy,minus,plus,0.00371940729221254,nonnegative,base,base,base
423,0.0,confounded,logger2_heavy,base,plus,0.0038152725998017445,nonnegative,base,base|plus,plus
424,0.0,confounded,logger2_heavy,minus,base,0.006146157282728937,nonnegative,minus,minus|base,base
424,0.0,confounded,logger2_heavy,minus,plus,0.006241149439645377,nonnegative,base,base,base
424,0.0,confounded,logger2_heavy,base,plus,0.006336141596561817,nonnegative,base,base|plus,plus
425,0.0,confounded,logger2_heavy,minus,base,0.003991560569415853,nonnegative,minus,minus|base,base
425,0.0,confounded,logger2_heavy,minus,plus,0.004087297910540633,nonnegative,base,base,base
425,0.0,confounded,logger2_heavy,base,plus,0.004183035251665412,nonnegative,base,base|plus,plus
426,0.0,confounded,logger2_heavy,minus,base,0.005199853448365266,nonnegative,minus,minus|base,base
426,0.0,confounded,logger2_heavy,minus,plus,0.005240882564650717,nonnegative,base,base,base
426,0.0,confounded,logger2_heavy,base,plus,0.005281911680936169,nonnegative,base,base|plus,plus
428,0.0,confounded,logger2_heavy,minus,base,0.012694425191853154,nonnegative,minus,minus|base,base
428,0.0,confounded,logger2_heavy,minus,plus,0.012784579258258877,nonnegative,base,base,base
428,0.0,confounded,logger2_heavy,base,plus,0.0128747333246646,nonnegative,base,base|plus,plus
429,0.0,confounded,logger2_heavy,minus,base,0.004909176996309994,nonnegative,minus,minus|base,base
429,0.0,confounded,logger2_heavy,minus,plus,0.005001840478343511,nonnegative,base,base,base
429,0.0,confounded,logger2_heavy,base,plus,0.005094503960377028,nonnegative,base,base|plus,plus
430,0.0,confounded,logger2_heavy,minus,base,0.0031451269470584853,nonnegative,minus,minus|base,base
430,0.0,confounded,logger2_heavy,minus,plus,0.0032405935408027498,nonnegative,base,base,base
430,0.0,confounded,logger2_heavy,base,plus,0.0033360601345470142,nonnegative,base,base|plus,plus
431,0.0,confounded,logger2_heavy,minus,base,0.00652742611608681,nonnegative,minus,minus|base,base
431,0.0,confounded,logger2_heavy,minus,plus,0.006621873934950617,nonnegative,base,base,base
431,0.0,confounded,logger2_heavy,base,plus,0.006716321753814425,nonnegative,base,base|plus,plus
432,0.0,confounded,logger2_heavy,minus,base,0.006088186040417387,nonnegative,plus,plus,plus
432,0.0,confounded,logger2_heavy,minus,plus,0.006018375228715456,nonnegative,minus,minus|plus,plus
432,0.0,confounded,logger2_heavy,base,plus,0.005948564417013524,nonnegative,minus,minus,minus
433,0.0,confounded,logger2_heavy,minus,base,0.00702369891103749,nonnegative,minus,minus|base,base
433,0.0,confounded,logger2_heavy,minus,plus,0.007117741068132122,nonnegative,base,base,base
433,0.0,confounded,logger2_heavy,base,plus,0.007211783225226753,nonnegative,base,base|plus,plus
434,0.0,confounded,logger2_heavy,minus,base,0.004339876021500988,nonnegative,minus,minus|base,base
434,0.0,confounded,logger2_heavy,minus,plus,0.004434983633387013,nonnegative,base,base,base
434,0.0,confounded,logger2_heavy,base,plus,0.004530091245273038,nonnegative,base,base|plus,plus
435,0.0,confounded,logger2_heavy,minus,base,0.0035861377966144303,nonnegative,plus,plus,plus
435,0.0,confounded,logger2_heavy,minus,plus,0.003569951010660821,nonnegative,minus,minus|plus,plus
435,0.0,confounded,logger2_heavy,base,plus,0.003553764224707212,nonnegative,minus,minus,minus
436,0.0,confounded,logger2_heavy,minus,base,0.0032586664292363066,nonnegative,minus,minus|base,base
436,0.0,confounded,logger2_heavy,minus,plus,0.003348391117488747,nonnegative,base,base,base
436,0.0,confounded,logger2_heavy,base,plus,0.0034381158057411876,nonnegative,base,base|plus,plus
437,0.0,confounded,logger2_heavy,minus,base,0.008410231196944729,nonnegative,minus,minus|base,base
