action,bootstrap_unit,ci_high,ci_low,ci_method,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,sd,seed_max,seed_min,seed_sd,seed_variation_reported_separately,theoretical_slope
plus,anchor_id,0.23555781535932568,0.1918988815645163,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.21375577465698184,heavy_slope_error,heavy,3,78,0.09987376917854601,0.29110434094411464,0.1606537230952894,0.06852197480759954,True,0.31111111111111134
plus,anchor_id,0.666729357019302,0.5877771290914274,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.6278826049727605,heavy_slope_r2,heavy,3,78,0.181402597854618,0.7685022408829906,0.4873278017179531,0.140587230794259,True,0.31111111111111134
plus,anchor_id,0.1834982103966291,0.12091424586618313,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.15171571043629767,heavy_slope_through_origin_increment,heavy,3,78,0.14362729147079278,0.2093938325447109,0.07232898487512364,0.07106434207514838,True,0.31111111111111134
plus,anchor_id,0.16671276673041535,0.09994196424055762,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.13396063898373564,heavy_slope_with_intercept,heavy,3,78,0.14474896295858303,0.1963410601223257,0.04369527271018987,0.08005224373840097,True,0.31111111111111134
base,anchor_id,2.122844025107442e-15,1.729656982015224e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.9195064748097943e-15,balanced_slope_error,balanced,3,78,9.319752025625936e-16,2.025242000964571e-15,1.7649699365835818e-15,1.3682668218839026e-16,True,0.0
base,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,-1.5670547209605382e-15,-2.0116861642780614e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,-1.7893704426192995e-15,balanced_slope_with_intercept,balanced,3,78,9.92877558300079e-16,-1.6999019204883348e-15,-1.8381714546907348e-15,7.758866413960616e-17,True,0.0
minus,anchor_id,2.3207592407304852e-15,1.857149626051849e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,2.0821765150479123e-15,balanced_slope_error,balanced,3,78,9.983519551995128e-16,2.236713053274125e-15,1.8707054627383587e-15,1.8952979515864753e-16,True,0.0
minus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,-1.716101145328714e-15,-2.1499556984804613e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,-1.930351144159002e-15,balanced_slope_with_intercept,balanced,3,78,1.009506740381331e-15,-1.5453653822621225e-15,-2.1391110291312535e-15,3.3380404890804023e-16,True,0.0
plus,anchor_id,2.2638247266471437e-15,1.8110597813177156e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,2.0306643356391747e-15,balanced_slope_error,balanced,3,78,1.04400028524708e-15,2.1309775271193476e-15,1.935773478833606e-15,9.771492415070526e-17,True,0.0
plus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
plus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
plus,anchor_id,-1.7920138307731687e-15,-2.2556912246352386e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,-2.0089749969407594e-15,balanced_slope_with_intercept,balanced,3,78,1.0508814564992463e-15,-1.870705462738359e-15,-2.1309775271193476e-15,1.3089632706542379e-16,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_error,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,heavy_slope_r2,heavy,3,78,0.0,1.0,1.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_through_origin_increment,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_with_intercept,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_error,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,heavy_slope_r2,heavy,3,78,0.0,1.0,1.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_through_origin_increment,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_with_intercept,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
plus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_error,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
plus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,1.0,heavy_slope_r2,heavy,3,78,0.0,1.0,1.0,0.0,True,0.0
plus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_through_origin_increment,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
plus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.0,all,0.0,heavy_slope_with_intercept,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,0.28272339044828937,0.20008110275168822,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.23947353577172714,balanced_slope_error,balanced,3,78,0.1888005549442442,0.2558280625191808,0.2079815285772083,0.027279666205418353,True,0.0
base,anchor_id,0.770323437600049,0.6758657708218639,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.7239740310827587,balanced_slope_r2,balanced,3,78,0.22094812075382944,0.8081513454298715,0.6671622718071977,0.07437160024851927,True,0.0
