kappa,condition,mixture,lambda_reward,method,metric,n_seeds,mean,sd,ci95_low,ci95_high
0.0,confounded,logger1_heavy,0.0,pooled_mlp,mae,5,0.01254758583997588,0.0019538466649854868,0.010121564778052906,0.014973606901898855
0.0,confounded,logger1_heavy,0.0,pooled_mlp,top_set_disagreement,5,0.2543689320388349,0.018105632013850313,0.23188782060251142,0.2768500434751584
0.0,confounded,logger1_heavy,0.0,pooled_mlp,mean_regret,5,0.0009261622046423445,9.180887762067218e-05,0.0008121664265852604,0.0010401579826994287
0.0,confounded,logger1_heavy,0.0,source_balanced_pooled_mlp,mae,5,0.0111046770555315,0.0015109288276220518,0.009228611126424974,0.012980742984638026
0.0,confounded,logger1_heavy,0.0,source_balanced_pooled_mlp,top_set_disagreement,5,0.227831715210356,0.022952263076371708,0.19933271647112363,0.2563307139495884
0.0,confounded,logger1_heavy,0.0,source_balanced_pooled_mlp,mean_regret,5,0.0008184745298627545,0.00012029337792799589,0.0006691105732672424,0.0009678384864582666
0.0,confounded,logger1_heavy,0.0,source_conditioned_decoder,mae,5,0.01166608152147071,0.001071093313146063,0.010336143515820451,0.01299601952712097
0.0,confounded,logger1_heavy,0.0,source_conditioned_decoder,top_set_disagreement,5,0.2187702265372168,0.04620017391519203,0.1614051338759701,0.2761353191984635
0.0,confounded,logger1_heavy,0.0,source_conditioned_decoder,mean_regret,5,0.0007328141449996576,0.000176966418663315,0.0005130813140543642,0.000952546975944951
0.0,confounded,logger1_heavy,0.0,per_source_models,mae,5,0.00985406807936506,0.0007309609627700332,0.008946460167801146,0.010761675990928974
0.0,confounded,logger1_heavy,0.0,per_source_models,top_set_disagreement,5,0.22135922330097085,0.03512482472806508,0.17774599299291505,0.26497245360902666
0.0,confounded,logger1_heavy,0.0,per_source_models,mean_regret,5,0.0007628225572774025,0.00015351982783742287,0.0005722025140412341,0.0009534426005135709
0.0,confounded,logger1_heavy,0.0,mechanism_separated,mae,5,0.011181948051269274,0.0007650720091606207,0.010231985681461109,0.01213191042107744
0.0,confounded,logger1_heavy,0.0,mechanism_separated,top_set_disagreement,5,0.21100323624595468,0.02787683555645053,0.1763895731516634,0.24561689934024597
0.0,confounded,logger1_heavy,0.0,mechanism_separated,mean_regret,5,0.0007395601920658398,0.00011251934418175467,0.0005998489732938566,0.000879271410837823
0.0,confounded,logger1_heavy,0.0,oracle_u_aware,mae,5,0.011671741045913077,0.0011634222501377151,0.01022716152320786,0.013116320568618294
0.0,confounded,logger1_heavy,0.0,oracle_u_aware,top_set_disagreement,5,0.2453074433656958,0.01947133845500495,0.2211305834092756,0.269484303322116
0.0,confounded,logger1_heavy,0.0,oracle_u_aware,mean_regret,5,0.0009027330124843239,9.601469739551108e-05,0.0007835150194298888,0.001021951005538759
0.0,confounded,logger1_heavy,0.0,source_shuffle,mae,5,0.010775176422812345,0.00045596195461082773,0.01020902487922146,0.01134132796640323
0.0,confounded,logger1_heavy,0.0,source_shuffle,top_set_disagreement,5,0.24919093851132684,0.0228837146015064,0.22077705394546648,0.2776048230771872
0.0,confounded,logger1_heavy,0.0,source_shuffle,mean_regret,5,0.0008796381348187583,8.319565016272136e-05,0.0007763370912045519,0.0009829391784329647
0.0,confounded,logger1_heavy,0.0,no_behavior,mae,5,0.011290746216607903,0.0012777297461104367,0.009704235191428535,0.01287725724178727
0.0,confounded,logger1_heavy,0.0,no_behavior,top_set_disagreement,5,0.20970873786407768,0.025523293402110493,0.17801738333108535,0.24140009239707
0.0,confounded,logger1_heavy,0.0,no_behavior,mean_regret,5,0.0007144520135146726,9.053576854868068e-05,0.0006020370091580669,0.0008268670178712784
0.0,confounded,logger1_heavy,0.0,source_dependent_reward,mae,5,0.011313041300404593,0.0016366253799132006,0.00928090248761981,0.013345180113189376
0.0,confounded,logger1_heavy,0.0,source_dependent_reward,top_set_disagreement,5,0.20970873786407768,0.034203307677968545,0.16723972210085766,0.25217775362729766
0.0,confounded,logger1_heavy,0.0,source_dependent_reward,mean_regret,5,0.0007027271568526999,0.000185618105880406,0.0004722518373662249,0.0009332024763391749
0.0,confounded,logger1_heavy,0.002,pooled_mlp,mae,5,0.011872257355768006,0.001422021990468801,0.010106583845548836,0.013637930865987176
0.0,confounded,logger1_heavy,0.002,pooled_mlp,top_set_disagreement,5,0.3326860841423948,0.055838139310482704,0.26335387683388195,0.40201829145090767
0.0,confounded,logger1_heavy,0.002,pooled_mlp,mean_regret,5,0.001225335712252209,0.0002627343073534759,0.0008991079817183948,0.001551563442786023
0.0,confounded,logger1_heavy,0.002,source_balanced_pooled_mlp,mae,5,0.0116304503910045,0.0009169813563396242,0.01049186765381353,0.01276903312819547
0.0,confounded,logger1_heavy,0.002,source_balanced_pooled_mlp,top_set_disagreement,5,0.28673139158576044,0.024066009634405444,0.2568494938422942,0.31661328932922667
0.0,confounded,logger1_heavy,0.002,source_balanced_pooled_mlp,mean_regret,5,0.0010905288086671592,0.00014332650610576414,0.0009125654460472995,0.0012684921712870188
