method,n_seeds,mean_prediction_mae,sd,ci95_low,ci95_high
pooled_mlp,5,0.012130631493754603,0.0008602069448307757,0.011062543499353376,0.01319871948815583
source_balanced_pooled_mlp,5,0.0,0.0,0.0,0.0
source_conditioned_decoder,5,0.010856526372706987,0.0005823598155885496,0.0101334311556901,0.011579621589723874
per_source_models,5,0.0065847569806375544,0.0017816732501014277,0.004372517449423916,0.008796996511851193
mechanism_separated,5,0.011778338945791172,0.0006502738563776851,0.010970917309353874,0.01258576058222847
oracle_u_aware,5,0.008343694174629603,0.0004787020809030035,0.007749307034907117,0.00893808131435209
source_shuffle,5,0.011702908696204916,0.0008359242394331848,0.010664971662874865,0.012740845729534968
no_behavior,5,0.011994026723373906,0.0005540865161820977,0.011306037444340446,0.012682016002407365
source_dependent_reward,5,0.010993156694476489,0.0007667570603325091,0.010041102057293059,0.011945211331659919
