contrast,comparator,n_paired_seeds,stability_improvement_mean,sd,ci95_low,ci95_high,exact_sign_flip_p,hedges_gz,holm_p_across_8_contrasts
pooled_mlp - mechanism_separated,pooled_mlp,5,0.00035229254796343074,0.00032963360624362216,-5.7001633507351224e-05,0.0007615867294342128,0.125,0.8549918243543702,0.5
source_balanced_pooled_mlp - mechanism_separated,source_balanced_pooled_mlp,5,-0.011778338945791172,0.0006502738563776851,-0.01258576058222847,-0.010970917309353874,0.0625,-14.490312141904969,0.5
source_conditioned_decoder - mechanism_separated,source_conditioned_decoder,5,-0.0009218125730841853,0.0005291074445902561,-0.0015787862382135006,-0.00026483890795487,0.0625,-1.3937623936447046,0.5
per_source_models - mechanism_separated,per_source_models,5,-0.005193581965153618,0.0015859364222928682,-0.007162782124154757,-0.003224381806152478,0.0625,-2.619818495697322,0.5
oracle_u_aware - mechanism_separated,oracle_u_aware,5,-0.003434644771161569,0.0010467523911774851,-0.004734359530320358,-0.00213493001200278,0.0625,-2.624991201441983,0.5
source_shuffle - mechanism_separated,source_shuffle,5,-7.543024958625612e-05,0.000333994001764904,-0.0004901385771937427,0.00033927807802123036,0.625,-0.1806745011890386,1.0
no_behavior - mechanism_separated,no_behavior,5,0.00021568777758273206,0.00046079359695564825,-0.0003564630423599131,0.0007878385975253772,0.5,0.3744631505432871,1.0
source_dependent_reward - mechanism_separated,source_dependent_reward,5,-0.0007851822513146838,0.0007067476835430254,-0.001662725405783967,9.236090315459949e-05,0.125,-0.8887836715682801,0.5
