absolute_slope_error,action,condition,empirical_slope,family,intercept,kappa,max_anchor_identity_residual,n_anchors,r_squared,theoretical_slope
6.661338147750939e-16,minus,confounded,-0.6000000000000005,balanced_bias,1.2719202621569003e-16,0.0,3.8163916471489756e-16,512,1.0,-0.5999999999999999
1.0414349308937186e-31,base,confounded,-1.0414349308937186e-31,balanced_bias,1.9732479539236187e-17,0.0,0.0,512,1.0,0.0
7.771561172376096e-16,plus,confounded,0.6000000000000006,balanced_bias,3.3615035499860937e-16,0.0,3.8163916471489756e-16,512,1.0,0.5999999999999999
6.661338147750939e-16,minus,confounded,-0.3111111111111105,heavy_drift,6.359601310784502e-17,0.0,4.163336342344337e-16,512,1.0,-0.31111111111111117
0.0,base,confounded,0.0,heavy_drift,0.0,0.0,0.0,512,1.0,0.0
6.106226635438361e-16,plus,confounded,0.31111111111111056,heavy_drift,1.953306116883811e-16,0.0,4.996003610813204e-16,512,1.0,0.31111111111111117
1.3354574803905893e-30,minus,independent_latents,-1.3354574803905893e-30,balanced_bias,1.8756697583999234e-16,0.0,0.0,512,1.0,0.0
2.5342423863152234e-32,base,independent_latents,-2.5342423863152234e-32,balanced_bias,5.854691731421724e-18,0.0,0.0,512,1.0,0.0
1.0268094524453323e-30,plus,independent_latents,-1.0268094524453323e-30,balanced_bias,1.864827736675068e-16,0.0,0.0,512,1.0,0.0
6.3545182224023515e-31,minus,independent_latents,-6.3545182224023515e-31,heavy_drift,1.183948772354171e-16,0.0,0.0,512,1.0,0.0
0.0,base,independent_latents,0.0,heavy_drift,0.0,0.0,0.0,512,1.0,0.0
7.282479613610313e-31,plus,independent_latents,-7.282479613610313e-31,heavy_drift,1.2988742026376346e-16,0.0,0.0,512,1.0,0.0
7.771561172376096e-16,minus,confounded,-0.6000000000000006,balanced_bias,0.0019527288369650096,0.3,3.885780586188048e-16,512,1.0,-0.5999999999999999
4.8667540354113243e-32,base,confounded,-4.8667540354113243e-32,balanced_bias,1.0842021724855047e-17,0.3,0.0,512,1.0,0.0
5.551115123125783e-16,plus,confounded,0.6000000000000004,balanced_bias,-0.0025692645132956156,0.3,3.885780586188048e-16,512,1.0,0.5999999999999999
6.661338147750939e-16,minus,confounded,-0.3111111111111105,heavy_drift,0.0010125260636114142,0.3,4.163336342344337e-16,512,1.0,-0.31111111111111117
0.0,base,confounded,0.0,heavy_drift,0.0,0.3,0.0,512,1.0,0.0
6.661338147750939e-16,plus,confounded,0.3111111111111105,heavy_drift,-0.0013322112291162425,0.3,4.996003610813204e-16,512,1.0,0.31111111111111117
1.1902113495928213e-30,minus,independent_latents,-1.1902113495928213e-30,balanced_bias,1.9689111452336768e-16,0.3,0.0,512,1.0,0.0
1.154908470579475e-31,base,independent_latents,-1.154908470579475e-31,balanced_bias,1.7564075194265172e-17,0.3,0.0,512,1.0,0.0
1.1216228989383198e-30,plus,independent_latents,-1.1216228989383198e-30,balanced_bias,1.8843433757798067e-16,0.3,0.0,512,1.0,0.0
4.458249292542602e-31,minus,independent_latents,-4.458249292542602e-31,heavy_drift,9.757819552369539e-17,0.3,0.0,512,1.0,0.0
0.0,base,independent_latents,0.0,heavy_drift,0.0,0.3,0.0,512,1.0,0.0
5.265172241419091e-31,plus,independent_latents,-5.265172241419091e-31,heavy_drift,1.0278236595162581e-16,0.3,0.0,512,1.0,0.0
