bootstrap_repetitions,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,max,max_abs,mean,median,metric,mixture,n_anchors,p10,p25,p75,p90,std
2000,anchor_id,0.95703125,0.916015625,confounded,0.0,0.1,1.0,1.0,0.9375,1.0,ranking_disagreement,logger2_heavy,512,1.0,1.0,1.0,1.0,0.24229819411790596
2000,anchor_id,0.006298747133575144,0.005637408528791918,confounded,0.0,0.1,0.015318793659484076,0.015318793659484076,0.005954499135319631,0.0051582413307760255,true_decision_regret,logger2_heavy,512,0.0013880081661602262,0.0034485554834223775,0.006879838610890587,0.012631964115964857,0.003978222762339509
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,ranking_disagreement,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,true_decision_regret,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,ranking_disagreement,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,true_decision_regret,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,ranking_disagreement,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.1,0.0,0.0,0.0,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.958984375,0.916015625,confounded,0.0,0.2,1.0,1.0,0.9375,1.0,ranking_disagreement,logger1_heavy,512,1.0,1.0,1.0,1.0,0.24229819411790596
2000,anchor_id,0.0063008775468315435,0.00560330511360665,confounded,0.0,0.2,0.015318793659484076,0.015318793659484076,0.005954499135319631,0.0051582413307760255,true_decision_regret,logger1_heavy,512,0.0013880081661602262,0.0034485554834223775,0.006879838610890587,0.012631964115964857,0.003978222762339509
2000,anchor_id,0.958984375,0.916015625,confounded,0.0,0.2,1.0,1.0,0.9375,1.0,ranking_disagreement,logger12_balanced,512,1.0,1.0,1.0,1.0,0.24229819411790596
2000,anchor_id,0.0062801127652608296,0.0056170114969433214,confounded,0.0,0.2,0.015318793659484076,0.015318793659484076,0.005954499135319631,0.0051582413307760255,true_decision_regret,logger12_balanced,512,0.0013880081661602262,0.0034485554834223775,0.006879838610890587,0.012631964115964857,0.003978222762339509
2000,anchor_id,0.95703125,0.91796875,confounded,0.0,0.2,1.0,1.0,0.9375,1.0,ranking_disagreement,logger2_heavy,512,1.0,1.0,1.0,1.0,0.24229819411790596
2000,anchor_id,0.006299486097935593,0.005615293654368884,confounded,0.0,0.2,0.015318793659484076,0.015318793659484076,0.005954499135319631,0.0051582413307760255,true_decision_regret,logger2_heavy,512,0.0013880081661602262,0.0034485554834223775,0.006879838610890587,0.012631964115964857,0.003978222762339509
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,ranking_disagreement,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.0,0.2,0.0,0.0,0.0,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.037109375,0.01171875,confounded,0.3,0.0,1.0,1.0,0.0234375,0.0,ranking_disagreement,logger1_heavy,512,0.0,0.0,0.0,0.0,0.15143637132369123
2000,anchor_id,9.454730906640345e-06,1.9774983130850347e-06,confounded,0.3,0.0,0.0006926539511105112,0.0006926539511105112,5.3795066745502065e-06,0.0,true_decision_regret,logger1_heavy,512,0.0,0.0,0.0,0.0,4.440994375380148e-05
2000,anchor_id,0.037109375,0.01171875,confounded,0.3,0.0,1.0,1.0,0.0234375,0.0,ranking_disagreement,logger12_balanced,512,0.0,0.0,0.0,0.0,0.15143637132369123
2000,anchor_id,9.468537427422224e-06,2.091700240318688e-06,confounded,0.3,0.0,0.0006926539511105112,0.0006926539511105112,5.3795066745502065e-06,0.0,true_decision_regret,logger12_balanced,512,0.0,0.0,0.0,0.0,4.440994375380148e-05
2000,anchor_id,0.03515625,0.009765625,confounded,0.3,0.0,1.0,1.0,0.021484375,0.0,ranking_disagreement,logger2_heavy,512,0.0,0.0,0.0,0.0,0.14513420387032275
2000,anchor_id,7.17957871347765e-06,1.5202715528398436e-06,confounded,0.3,0.0,0.0003932257953080942,0.0003932257953080942,4.026666926287489e-06,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,3.234361603453288e-05
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,ranking_disagreement,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,true_decision_regret,logger1_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,ranking_disagreement,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,true_decision_regret,logger12_balanced,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,ranking_disagreement,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.0,0.0,independent_latents,0.3,0.0,0.0,0.0,0.0,0.0,true_decision_regret,logger2_heavy,512,0.0,0.0,0.0,0.0,0.0
2000,anchor_id,0.953125,0.91015625,confounded,0.3,0.05,1.0,1.0,0.93359375,1.0,ranking_disagreement,logger1_heavy,512,1.0,1.0,1.0,1.0,0.24923439521329827
